idA1,idA2,idP
1522,406,0
1522,2615,0
406,1522,0
406,2615,0
2615,1522,0
2615,406,0
1932,16641,1
1932,17630,1
16641,1932,1
16641,17630,1
17630,1932,1
17630,16641,1
17020,3583,2
17020,18119,2
17020,17506,2
3583,17020,2
3583,18119,2
3583,17506,2
18119,17020,2
18119,3583,2
18119,17506,2
17506,17020,2
17506,3583,2
17506,18119,2
14572,17679,3
14572,2174,3
17679,14572,3
17679,2174,3
2174,14572,3
2174,17679,3
1706,7479,4
1706,17335,4
1706,2407,4
7479,1706,4
7479,17335,4
7479,2407,4
17335,1706,4
17335,7479,4
17335,2407,4
2407,1706,4
2407,7479,4
2407,17335,4
17157,4506,5
17157,13084,5
17157,17249,5
4506,17157,5
4506,13084,5
4506,17249,5
13084,17157,5
13084,4506,5
13084,17249,5
17249,17157,5
17249,4506,5
17249,13084,5
7649,7619,7
7619,7649,7
7849,5072,8
5072,7849,8
18249,17408,9
18249,17032,9
18249,9683,9
17408,18249,9
17408,17032,9
17408,9683,9
17032,18249,9
17032,17408,9
17032,9683,9
9683,18249,9
9683,17408,9
9683,17032,9
11552,14488,10
11552,16813,10
11552,5298,10
11552,12700,10
14488,11552,10
14488,16813,10
14488,5298,10
14488,12700,10
16813,11552,10
16813,14488,10
16813,5298,10
16813,12700,10
5298,11552,10
5298,14488,10
5298,16813,10
5298,12700,10
12700,11552,10
12700,14488,10
12700,16813,10
12700,5298,10
10573,6012,11
6012,10573,11
1394,8017,12
1394,4640,12
1394,3201,12
8017,1394,12
8017,4640,12
8017,3201,12
4640,1394,12
4640,8017,12
4640,3201,12
3201,1394,12
3201,8017,12
3201,4640,12
17828,16091,13
16091,17828,13
17142,10284,14
17142,7952,14
10284,17142,14
10284,7952,14
7952,17142,14
7952,10284,14
13268,17687,15
13268,13238,15
13268,12425,15
17687,13268,15
17687,13238,15
17687,12425,15
13238,13268,15
13238,17687,15
13238,12425,15
12425,13268,15
12425,17687,15
12425,13238,15
5417,13512,16
5417,8402,16
5417,18230,16
13512,5417,16
13512,8402,16
13512,18230,16
8402,5417,16
8402,13512,16
8402,18230,16
18230,5417,16
18230,13512,16
18230,8402,16
2704,17302,17
2704,16691,17
2704,4179,17
17302,2704,17
17302,16691,17
17302,4179,17
16691,2704,17
16691,17302,17
16691,4179,17
4179,2704,17
4179,17302,17
4179,16691,17
16621,10622,18
16621,7474,18
16621,4905,18
16621,17116,18
10622,16621,18
10622,7474,18
10622,4905,18
10622,17116,18
7474,16621,18
7474,10622,18
7474,4905,18
7474,17116,18
4905,16621,18
4905,10622,18
4905,7474,18
4905,17116,18
17116,16621,18
17116,10622,18
17116,7474,18
17116,4905,18
9008,5042,19
9008,4741,19
9008,13868,19
5042,9008,19
5042,4741,19
5042,13868,19
4741,9008,19
4741,5042,19
4741,13868,19
13868,9008,19
13868,5042,19
13868,4741,19
15380,17737,20
15380,17685,20
15380,8775,20
15380,16084,20
17737,15380,20
17737,17685,20
17737,8775,20
17737,16084,20
17685,15380,20
17685,17737,20
17685,8775,20
17685,16084,20
8775,15380,20
8775,17737,20
8775,17685,20
8775,16084,20
16084,15380,20
16084,17737,20
16084,17685,20
16084,8775,20
13393,16900,21
13393,16252,21
13393,7776,21
13393,15344,21
13393,3703,21
16900,13393,21
16900,16252,21
16900,7776,21
16900,15344,21
16900,3703,21
16252,13393,21
16252,16900,21
16252,7776,21
16252,15344,21
16252,3703,21
7776,13393,21
7776,16900,21
7776,16252,21
7776,15344,21
7776,3703,21
15344,13393,21
15344,16900,21
15344,16252,21
15344,7776,21
15344,3703,21
3703,13393,21
3703,16900,21
3703,16252,21
3703,7776,21
3703,15344,21
11880,3570,22
11880,17102,22
11880,13245,22
3570,11880,22
3570,17102,22
3570,13245,22
17102,11880,22
17102,3570,22
17102,13245,22
13245,11880,22
13245,3570,22
13245,17102,22
1449,5404,23
1449,16722,23
5404,1449,23
5404,16722,23
16722,1449,23
16722,5404,23
12661,16891,24
16891,12661,24
3099,1138,25
3099,17594,25
1138,3099,25
1138,17594,25
17594,3099,25
17594,1138,25
9976,6052,26
9976,12880,26
6052,9976,26
6052,12880,26
12880,9976,26
12880,6052,26
8934,6108,28
6108,8934,28
16243,16057,29
16057,16243,29
17104,10941,30
17104,16970,30
10941,17104,30
10941,16970,30
16970,17104,30
16970,10941,30
11500,2776,31
2776,11500,31
4376,4835,32
4376,16946,32
4376,4726,32
4376,4824,32
4835,4376,32
4835,16946,32
4835,4726,32
4835,4824,32
16946,4376,32
16946,4835,32
16946,4726,32
16946,4824,32
4726,4376,32
4726,4835,32
4726,16946,32
4726,4824,32
4824,4376,32
4824,4835,32
4824,16946,32
4824,4726,32
16206,17850,33
16206,7241,33
16206,16699,33
17850,16206,33
17850,7241,33
17850,16699,33
7241,16206,33
7241,17850,33
7241,16699,33
16699,16206,33
16699,17850,33
16699,7241,33
4376,524,34
4376,4726,34
524,4376,34
524,4726,34
4726,4376,34
4726,524,34
16720,17262,35
17262,16720,35
9007,16417,36
9007,16917,36
16417,9007,36
16417,16917,36
16917,9007,36
16917,16417,36
17575,16146,37
17575,11688,37
17575,9620,37
16146,17575,37
16146,11688,37
16146,9620,37
11688,17575,37
11688,16146,37
11688,9620,37
9620,17575,37
9620,16146,37
9620,11688,37
