id,tag,title,year
0,journals/vc/SchmittPS04,"Constructive sculpting of heterogeneous volumetric objects using trivariate B-splines.",2004
1,journals/vc/KimFY10,"Real-time data driven deformation with affine bones.",2010
2,journals/vc/FengZWW17,"A geometric control of fire motion editing.",2017
3,journals/vc/KangKK10,"Live path: adaptive agent navigation in the interactive virtual world.",2010
4,journals/vc/0011GZL17,"Hierarchical feature concatenation-based kernel sparse representations for image categorization.",2017
5,journals/vc/JiangZPQ14,"Online robust action recognition based on a hierarchical model.",2014
6,journals/vc/Sakas93a,"Interactive volume rendering of large fields.",1993
7,journals/vc/YeY14,"Ray geometry in non-pinhole cameras: a survey.",2014
8,journals/vc/ClearyW88,"Analysis of an algorithm for fast ray tracing using uniform space subdivision.",1988
9,journals/vc/LiJJM12,"Approximate straightest path computation and its application in parameterization.",2012
10,journals/vc/KapadiaSHRF12,"Parallelized egocentric fields for autonomous navigation.",2012
11,journals/vc/UsohB93a,"SIMD algorithm for curved object recognition using Grimson and Lozano-Pérez matching.",1993
12,journals/vc/YersinMMT08,"Real-time crowd motion planning.",2008
13,journals/vc/WangL08,"Example-driven animation synthesis.",2008
14,journals/vc/LiuGR09,"Incorporating object-centered sampling and Delaunay tetrahedrization for visual hull reconstruction.",2009
15,journals/vc/SongLMR13,"3D point of interest detection via spectral irregularity diffusion.",2013
16,journals/vc/ZhongLCS16,"A generalized nonlocal mean framework with object-level cues for saliency detection.",2016
17,journals/vc/HaoCWW15,"An iterated randomized search algorithm for large-scale texture synthesis and manipulations.",2015
18,journals/vc/YangTXOM16,"Example-based caricature generation with exaggeration control.",2016
19,journals/vc/TackLCL06,"Platform independent optimisation of multi-resolution 3D content to enable universal media access.",2006
20,journals/vc/SatoDYIN15,"Incompressibility-preserving deformation for fluid flows using vector potentials.",2015
21,journals/vc/ZmuggTKEHF14,"Procedural architecture using deformation-aware split grammars.",2014
22,journals/vc/CorneaSYB05,"Computing hierarchical curve-skeletons of 3D objects.",2005
23,journals/vc/LiJS15,"Color correction based on point clouds alignment in the logarithmic RGB space.",2015
24,journals/vc/SchroderK93,"Data parallel volume-rendering algorithms for interactive visualization.",1993
25,journals/vc/CohenKW94,"Generating a smooth voxel-based model from an irregular polygon mesh.",1994
26,journals/vc/KotNS15,"Elastic moduli of simple mass spring models.",2015
27,journals/vc/Hofmann90,"Who invented ray tracing?",1990
28,journals/vc/McDonnellQ07,"A novel framework for physically based sculpting and animation of free-form solids.",2007
29,journals/vc/AssarssonA04,"Occlusion culling and z-fail for soft shadow volume algorithms.",2004
30,journals/vc/YinJG07,"Computing shortest cycles using universal covering space.",2007
31,journals/vc/ErradiF88,"Visual interaction using an iconic system.",1988
32,journals/vc/CerezoPPSS05,"A survey on participating media rendering techniques.",2005
33,journals/vc/HsiehYWS14,"Feature extraction using bionic particle swarm tracing for transfer function design in direct volume rendering.",2014
34,journals/vc/CerezoPS99,"Motion and behaviour modelling: state of art and new trends.",1999
35,journals/vc/SongY05,"Free-form deformation with weighted T-spline.",2005
36,journals/vc/KimLW10,"Scalable real-time planar targets tracking for digilog books.",2010
37,journals/vc/YuanKIS88,"GeomstoneFire: adaptive dispersive ray tracing of polyhedrons.",1988
38,journals/vc/WangHSQ11,"Multi-scale anisotropic heat diffusion based on normal-driven shape representation.",2011
39,journals/vc/Kosters89,"Quadratic blending surfaces for complex corners.",1989
40,journals/vc/NiessnerSS10,"Fast indirect illumination using Layered Depth Images.",2010
41,journals/vc/WangOZK08,"Reconstructing regular meshes from points.",2008
42,journals/vc/0021XNH14,"VideoGraph: a non-linear video representation for efficient exploration.",2014
43,journals/vc/RottgerSM11,"Distance-based tractography in high angular resolution diffusion MRI.",2011
44,journals/vc/GehlingHM07,"Normalpaint: an interactive tool for painting normal maps.",2007
45,journals/vc/BhattacharyaT88,"Fast algorithms for computing the diameter of a finite planar set.",1988
