idP,idC
6997,2
6998,5
6999,3
7002,1
7006,2
7008,5
7013,4
7014,4
7020,1
7023,2
7026,1
7029,1
7032,3
7035,4
7036,5
7038,5
7039,3
7042,5
7044,1
7046,1
7048,1
7055,5
7056,2
7057,2
7058,2
7062,1
7063,4
7066,1
7067,1
7070,2
7075,5
7081,5
7083,2
7090,1
7091,3
7098,1
7099,1
7100,1
7101,5
7102,1
7104,1
7105,1
7106,1
7107,1
7108,3
7111,1
7112,1
7115,3
7116,1
7119,5
7121,2
7123,2
7124,5
7132,1
7136,1
7145,1
7149,2
7151,5
7155,3
7158,1
7160,1
7164,2
7165,5
7169,5
7176,3
7179,2
7192,1
7194,1
7200,1
7202,2
7203,5
7205,2
7207,2
7211,3
7213,2
7215,5
7218,1
7219,5
7221,3
7222,2
7223,1
7224,1
7227,2
7228,1
7229,2
7233,5
7234,5
7235,2
7240,1
7242,5
7245,1
7246,2
7247,3
7249,3
7250,5
7252,1
7254,2
7260,1
7261,2
7265,5
7266,5
7268,3
7273,3
7280,1
7282,3
7286,1
7287,5
7288,5
7290,2
7291,1
7300,2
7304,5
7306,1
7315,5
7318,5
7319,1
7323,1
7326,3
7327,1
7328,1
7332,5
7334,1
7340,2
7343,1
7344,1
7346,1
7351,3
7352,5
7353,2
7354,1
7355,3
7356,1
7357,1
7359,2
7360,1
7362,2
7363,1
7365,2
7368,3
7369,1
7372,1
7375,1
7379,5
7380,5
7382,5
7387,1
7389,1
7390,1
7391,5
7394,1
7396,1
7397,4
7399,1
7405,5
7407,1
7411,3
7412,1
7418,5
7421,2
7422,1
7423,5
7424,1
7428,1
7429,3
7430,5
7441,1
7442,1
7443,5
7447,3
7448,5
7450,2
7452,1
7455,1
7456,2
7460,5
7463,2
7464,1
7467,2
7470,5
7475,3
7481,5
7482,5
7489,5
7494,1
7501,5
7505,2
7507,1
7509,1
7510,5
7513,1
7518,3
7519,5
7521,5
7523,5
7529,5
7531,5
7537,3
7538,5
7539,1
7541,5
7544,1
7547,1
7552,1
7554,1
7560,1
7564,1
7570,5
7573,3
7576,1
7579,3
7581,1
7582,5
7588,2
7590,3
7592,1
7593,1
7596,1
7597,1
7598,2
7600,1
7601,5
7603,5
7606,5
7608,5
7610,5
7611,5
7613,3
7614,1
7615,1
7616,5
7617,3
7631,1
7632,3
7638,2
7641,1
7643,5
7645,1
7650,5
7652,5
7655,1
7657,1
7658,1
7662,5
7663,1
7664,1
7667,3
7668,3
7669,5
7673,3
7674,2
7682,3
7685,5
7687,3
7689,5
7695,1
7698,1
7700,5
7701,5
7707,1
7708,2
7713,5
7714,2
7715,5
7718,2
7724,1
7725,1
7728,3
7729,2
7730,1
7733,1
7734,1
7736,2
7739,2
7740,5
7741,5
7742,1
7743,1
7744,5
7747,1
7750,1
7753,2
7754,3
7755,1
7756,1
7759,5
7760,1
7772,1
7773,4
7774,1
7775,3
7776,5
7782,3
7786,1
7789,2
7790,1
7796,3
7798,1
7800,1
7801,1
7802,3
7805,1
7806,2
7809,5
7810,5
7811,5
7813,1
7814,5
7816,1
7819,5
7820,2
7822,5
7823,5
7825,1
7828,1
7844,1
7846,3
7855,2
7857,5
7864,3
7871,1
7874,5
7877,4
7886,1
7887,2
7889,5
7891,1
7895,1
7896,1
7899,1
7900,1
7901,5
7903,2
7904,1
7910,1
7912,2
7913,2
7916,2
7917,2
7920,2
7925,1
7927,3
7931,5
7933,1
7940,5
7941,1
7944,3
7948,5
7951,3
7953,3
7954,5
7960,2
7961,3
7963,5
7965,5
7966,1
7975,2
7978,1
7983,5
7984,1
7986,1
7990,1
7994,1
7996,5
7998,1
7999,1
8000,5
8002,1
8004,1
8005,2
8012,5
8013,1
8016,1
8030,3
8034,1
8035,3
8036,4
8048,1
8051,1
8053,5
8060,5
8061,5
8062,1
8064,3
8065,1
8068,1
8070,1
8076,3
8077,3
8079,5
8083,5
8084,1
8085,1
8089,3
8092,1
8095,5
8099,1
8100,3
8101,1
8102,5
8104,2
8105,3
8106,5
8114,5
8115,2
8119,5
8125,1
8126,5
8131,3
8134,2
8135,1
8137,1
8138,1
8139,3
8142,1
8143,5
8146,1
8153,2
8158,1
8159,2
8161,3
8173,5
8178,2
8179,2
8181,1
8182,1
8186,5
8187,5
8192,1
8194,3
8195,2
8196,5
8199,2
8208,3
8220,3
8226,1
8232,5
8233,5
8235,2
8238,1
8240,2
8249,5
8250,1
8257,3
8259,4
8264,5
8265,5
8266,5
8268,1
8269,5
8273,5
8275,1
8277,1
8288,5
8294,5
8302,2
8303,1
8304,1
8306,5
8307,1
8308,3
8310,3
8313,3
8316,3
8326,3
8329,5
8331,3
8333,3
8335,3
8343,1
8345,1
8353,2
8354,5
8357,5
8359,2
8360,3
8366,3
8371,2
8375,3
8376,5
8381,3
8385,2
8386,5
8390,1
8391,5
8392,5
8393,5
8399,2
8402,2
8406,5
8408,4
8410,5
8414,5
8418,5
8421,5
8427,3
8428,3
8433,1
8434,5
8436,2
8438,2
8441,1
8443,3
8445,5
8447,1
8448,1
8449,5
8450,5
8455,1
8462,2
8464,2
8465,2
8467,5
8470,2
8479,5
8481,1
8483,1
8486,1
8489,2
8494,1
8499,5
8503,3
8506,1
8508,5
8511,5
8512,5
8514,2
8515,1
8522,2
8526,2
8528,5
8531,3
8534,1
8539,5
8542,2
8545,1
8546,5
8550,5
8551,2
8552,2
8553,5
8555,5
8562,3
8563,5
8571,1
8573,5
8574,5
8576,5
8581,2
8582,2
8583,5
8586,1
8595,5
8598,2
8599,5
8601,5
8603,3
8613,3
8618,1
8619,5
8620,5
8628,2
8630,2
8631,1
8632,5
8637,5
8638,5
8639,2
8643,2
8645,5
8652,1
8653,5
8655,1
8659,5
8661,1
8664,5
8669,3
8670,4
8671,2
8672,5
8674,1
8675,5
8676,1
8678,5
8679,1
8688,1
8690,1
8695,5
8697,2
8699,2
8702,2
8703,2
8707,3
8708,2
8710,2
8711,5
8713,1
8715,5
8716,3
8718,1
8719,5
8721,4
8729,1
8730,5
8733,5
8736,3
8745,5
8750,5
8753,3
8756,3
8757,5
8758,5
8763,5
8767,1
8769,1
8772,2
8773,2
8774,5
8780,1
8784,5
8787,3
8790,3
8792,1
8794,5
8796,3
8799,5
8801,5
8803,5
8804,3
8811,1
8817,5
8818,5
8824,5
8825,1
8827,1
8839,1
8843,2
8846,1
8848,3
8849,5
8850,5
8859,5
8863,5
8866,1
8868,1
8871,5
8874,1
8875,1
8880,5
8881,3
8884,1
8886,1
8888,5
8890,5
8891,1
8893,2
8894,3
8900,3
8906,5
8908,5
8913,5
8918,1
8922,5
8931,3
8939,3
8940,2
8941,2
8943,5
8948,5
8954,4
8955,5
8956,5
8957,2
8959,5
8960,5
8965,3
8966,5
8967,5
8968,5
8975,1
8976,1
8980,3
8985,1
8986,1
8990,2
